date_time,code,flt_number,origin,airline,ac_type,transfer,disembarking,total
2019-07-25 19:45:00,A6ENR,EK 603,OPKC,EK,B77W,181.0,86.0,267.0
2019-07-26 19:45:00,A6ECP,EK 603,OPKC,EK,B77W,263.0,69.0,332.0
2019-07-27 00:00:00,SUGEU,MS 910,HECA,MS,B789,1.0,205.0,206.0
2019-07-28 14:00:00,SUGEB,MS 905,HECA,MS,B738,3.0,79.0,82.0
2019-07-29 06:55:00,SUGEL,MS 901,HECA,MS,B738,5.0,85.0,90.0
2019-07-30 00:00:00,SUGEU,MS 910,HECA,MS,B789,2.0,140.0,142.0
2019-07-30 04:10:00,A6ENF,EK 605,OPKC,EK,B77W,114.0,25.0,139.0
2019-07-30 23:45:00,A6EGB,EK 607,OPKC,EK,B77W,87.0,37.0,124.0
2019-08-01 19:45:00,A6ENR,EK 603,OPKC,EK,B77W,133.0,1.0,211.0
2019-08-04 00:00:00,SUGEV,MS 910,HECA,MS,B789,1.0,182.0,183.0
2019-08-05 14:00:00,SUGCZ,MS 905,HECA,MS,B738,6.0,68.0,74.0
2019-08-06 04:10:00,A6ENA,EK 605,OPKC,EK,B77W,137.0,1.0,165.0
2019-08-11 14:00:00,SUGDB,MS 905,HECA,MS,B738,7.0,71.0,78.0
2019-08-11 19:45:00,A6EBR,EK 603,OPKC,EK,B77W,79.0,6.0,107.0
2019-08-12 04:10:00,A6ENZ,EK 605,OPKC,EK,B77W,61.0,9.0,70.0
2019-08-13 06:55:00,SUGEI,MS 901,HECA,MS,B738,2.0,114.0,116.0
2019-08-17 19:45:00,A6EBJ,EK 603,OPKC,EK,B77W,221.0,128.0,349.0
2019-08-18 06:55:00,SUGEK,MS 901,HECA,MS,B738,2.0,2.0,140.0
2019-08-19 00:00:00,SUGET,MS 910,HECA,MS,B789,1.0,304.0,305.0
2019-08-22 19:45:00,A6ECF,EK 603,OPKC,EK,B77W,208.0,138.0,346.0
2019-08-23 14:00:00,SUGDA,MS 905,HECA,MS,B738,7.0,133.0,140.0
2019-08-23 23:45:00,A6EGT,EK 607,OPKC,EK,B77W,181.0,166.0,347.0
2019-08-24 19:45:00,A6ECD,EK 603,OPKC,EK,B77W,245.0,101.0,346.0
2019-08-28 06:55:00,SUGEG,MS 901,HECA,MS,B738,1.0,1.0,143.0
2019-08-28 19:45:00,A6ECU,EK 603,OPKC,EK,B77W,179.0,166.0,345.0
2019-08-30 06:55:00,SUGEJ,MS 901,HECA,MS,B738,3.0,136.0,139.0
2019-09-01 23:45:00,A6EPH,EK 607,OPKC,EK,B77W,278.0,73.0,351.0
2019-09-02 23:45:00,A6EBM,EK 607,OPKC,EK,B77W,187.0,165.0,352.0
2019-09-04 14:00:00,SUGED,MS 905,HECA,MS,B738,2.0,114.0,116.0
2019-09-05 06:55:00,SUGEH,MS 901,HECA,MS,B738,5.0,113.0,118.0
2019-09-07 06:55:00,SUGEM,MS 901,HECA,MS,B738,2.0,139.0,141.0
2019-09-08 00:00:00,SUGDS,MS 910,HECA,MS,A333,1.0,289.0,290.0
2019-09-09 14:00:00,SUGCN,MS 905,HECA,MS,B738,5.0,115.0,120.0
2019-09-10 23:45:00,A6ECJ,EK 607,OPKC,EK,B77W,103.0,219.0,322.0
2019-09-16 00:05:00,SUGDU,MS 910,HECA,MS,A333,2.0,273.0,275.0
2019-09-18 14:00:00,SUGDX,MS 905,HECA,MS,B738,2.0,103.0,105.0
2019-09-21 06:55:00,SUGEK,MS 901,HECA,MS,B738,1.0,142.0,143.0
2019-09-22 04:10:00,A6EPO,EK 605,OPKC,EK,B77W,132.0,1.0,199.0
2019-09-22 06:55:00,SUGEH,MS 901,HECA,MS,B738,1.0,128.0,129.0
2019-09-22 19:45:00,A6EPD,EK 603,OPKC,EK,B77W,151.0,77.0,228.0
