date_time,code,flt_number,destination,airline,ac_type,transfer,joining,total
2019-07-25 17:25:00,A6EPA,EK 606,OPKC,EK,B77W,207.0,145.0,352.0
2019-07-26 07:55:00,SUGEM,MS 902,HECA,MS,B738,3.0,135.0,138.0
2019-07-26 11:00:00,A6EPQ,EK 608,OPKC,EK,B77W,121.0,307.0,428.0
2019-07-31 15:00:00,SUGDA,MS 906,HECA,MS,B738,4.0,121.0,125.0
2019-08-01 11:00:00,A6EBW,EK 608,OPKC,EK,B77W,147.0,198.0,345.0
2019-08-02 01:20:00,SUGEU,MS 911,HECA,MS,B789,2.0,269.0,275.0
2019-08-02 07:55:00,SUGEG,MS 902,HECA,MS,B738,2.0,111.0,113.0
2019-08-07 11:00:00,A6EBQ,EK 608,OPKC,EK,B77W,123.0,220.0,343.0
2019-08-09 07:55:00,SUGEL,MS 902,HECA,MS,B738,,134.0,134.0
2019-08-10 11:00:00,A6ECR,EK 608,OPKC,EK,B77W,112.0,234.0,346.0
2019-08-11 01:20:00,SUGEV,MS 911,HECA,MS,B789,1.0,257.0,258.0
2019-08-11 17:25:00,A6EGZ,EK 606,OPKC,EK,B77W,191.0,128.0,319.0
2019-08-12 22:30:00,A6EBI,EK 604,OPKC,EK,B77W,134.0,154.0,288.0
2019-08-13 07:55:00,SUGEI,MS 902,HECA,MS,B738,,85.0,85.0
2019-08-15 11:00:00,A6EQA,EK 608,OPKC,EK,B77W,76.0,165.0,241.0
2019-08-16 15:00:00,SUGDA,MS 906,HECA,MS,B738,,99.0,99.0
2019-08-22 22:30:00,A6EGU,EK 604,OPKC,EK,B77W,130.0,65.0,195.0
2019-08-23 22:30:00,A6ENN,EK 604,OPKC,EK,B77W,200.0,49.0,249.0
2019-08-30 11:00:00,A6ECC,EK 608,OPKC,EK,B77W,79.0,114.0,193.0
2019-08-30 17:25:00,A6EGQ,EK 606,OPKC,EK,B77W,45.0,54.0,99.0
2019-09-05 11:00:00,A6EBU,EK 608,OPKC,EK,B77W,66.0,115.0,181.0
2019-09-10 22:30:00,A6EBB,EK 604,OPKC,EK,B77W,144.0,124.0,267.0
2019-09-11 22:30:00,A6EBC,EK 604,OPKC,EK,B77W,153.0,66.0,219.0
2019-09-12 01:20:00,SUGDU,MS 911,HECA,MS,A333,,195.0,195.0
2019-09-13 11:00:00,A6ENE,EK 608,OPKC,EK,B77W,118.0,135.0,253.0
2019-09-15 11:00:00,A6EGE,EK 608,OPKC,EK,B77W,138.0,204.0,342.0
2019-09-15 15:00:00,SUGCR,MS 906,HECA,MS,B738,1.0,105.0,106.0
2019-09-16 11:00:00,A6EGQ,EK 608,OPKC,EK,B77W,130.0,129.0,259.0
2019-09-17 22:30:00,A6EPC,EK 604,OPKC,EK,B77W,118.0,61.0,179.0
2019-09-20 17:25:00,A6EWI,EK 606,OPKC,EK,B77L,80.0,55.0,135.0
2019-09-22 01:20:00,SUGEU,MS 911,HECA,MS,B789,2.0,153.0,155.0
2019-09-22 15:00:00,SUGCR,MS 906,HECA,MS,B738,,94.0,94.0
2019-09-22 22:30:00,A6ENQ,EK 604,OPKC,EK,B77W,135.0,76.0,211.0
2019-09-24 22:30:00,A6EGY,EK 604,OPKC,EK,B77W,93.0,77.0,170.0
2019-09-25 11:00:00,A6EBC,EK 608,OPKC,EK,B77W,31.0,130.0,161.0
2019-09-26 11:00:00,A6ECU,EK 608,OPKC,EK,B77W,89.0,121.0,210.0
2019-09-27 17:25:00,A6EPI,EK 606,OPKC,EK,B77W,58.0,74.0,132.0
2019-10-01 17:25:00,A6EPX,EK 606,OPKC,EK,B77W,111.0,83.0,194.0
2019-10-02 15:00:00,SUGCO,MS 906,HECA,MS,B738,5.0,97.0,102.0
2019-10-06 01:20:00,SUGEV,MS 911,HECA,MS,B789,1.0,147.0,148.0
